Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fr.doctrine.json	3711	-	0	0	0	0	0	0	5	86	0	0	0	0	0	0	0	1	0	0	99	98	0	0	1	3	0	1
fsh-generated/resources/CodeSystem-competence-code-system.json	6317	32	0	0	0	1	0	0	1	40	0	0	1	0	0	0	0	0	0	0	51	1656	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-type-carte-code-system.json	1005	16	1	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	14	49	0	0	0	0	0	0
fsh-generated/resources/Patient-frpatient-exemple.json	450	16	0	0	0	0	0	0	0	296	0	0	0	0	0	0	0	0	0	0	6	9	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-EyeColor.json	1421	17	0	0	0	0	0	30	0	36	0	0	0	0	0	0	0	0	0	0	50	597	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-fr-patient.json	2595	18	0	0	0	0	0	267	0	125	0	0	0	0	0	0	0	2	0	0	393	972	0	0	0	14	0	1
fsh-generated/resources/ValueSet-EyeColorVS.json	666	12	0	0	0	0	0	0	1	150	0	0	0	0	0	0	0	0	0	0	12	2734	0	0	0	0	0	0
fsh-generated/resources/ValueSet-MeltingPotVS.json	872	12	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	14	146	0	0	0	1	0	0
fsh-generated/resources/ValueSet-ModifiedAdministrativeGender.json	643	12	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	11	89	0	0	0	0	0	1
fsh-generated/resources/ValueSet-TypeCarteVS.json	411	10	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	6	71	0	0	0	0	0	0
